Movie,Date,Rating,Studio,,Studio Chart,,
Minions: The Rise Of Gru,6/30/2022,7,,,,,
Thor: Love And Thunder,7/7/2022,5,,,,,
Paws of Fury: The Legend of Hank,7/14/2022,2,,,,,
Nope,7/21/2022,7,,,,,
DC League of Super Pets,7/28/2022,5,,,,,
Bullet Train,8/4/2022,8,,,,,
Dragon Ball Super: Super Hero,8/18/2022,7,,,,,
Spider-Man: No Way Home,9/3/2022,9,,,,,
Black Adam,10/20/2022,6,,,,,
Black Panther: Wakanda Forever,11/10/2022,7,,,,,
Ant-Man and the Wasp: Quantumania,2/16/2023,6,,,,,
Cocaine Bear,3/1/2023,6,,,,,
65,3/9/2023,4,,,,,
Shazam! Fury Of The Gods,3/16/2023,5,,,,,
John Wick: Chapter 4,3/23/2023,6,,,,,
Dungeons & Dragons: Honor Among Thieves,3/30/2023,8,,,,,
"Super Mario Bros. Movie, The",4/5/2023,6,,,,,
Renfield,4/13/2023,7,,,,,
Guardians of the Galaxy Vol. 3,5/4/2023,7,,,,,
Spider-Man: Across The Spider-Verse,6/5/2023,8,,,,,
"Little Mermaid, The",6/7/2023,4,,,,,
Transformers: Rise of the Beasts,6/9/2023,4,,,,,
"Flash, The",6/15/2023,10,,,,,
Elemental,6/19/2023,6,,,,,
"Flash, The",6/19/2023,10,,,,,
No Hard Feelings,6/22/2023,8,,,,,
Indiana Jones And The Dial of Destiny,6/29/2023,6,,,,,
Joy Ride,7/6/2023,6,,,,,
Mission: Impossible - Dead Reckoning Part One,7/11/2023,9,,,,,
Barbie,7/20/2023,6,,,,,
Oppenheimer,7/20/2023,6,,,,,
Haunted Mansion,7/27/2023,6,,,,,
Teenage Mutant Ninja Turtles: Mutant Mayhem,8/1/2023,6,,,,,
Blue Beetle,8/17/2023,4,,,,,
Strays,8/17/2023,6,,,,,
Dumb Money,9/28/2023,3,,,,,
"Creator, The",9/28/2023,4,,,,,
Five Nights at Freddy's,10/26/2023,5,,,,,
Freelance,10/27/2023,5,,,,,
"Marvels, The",11/9/2023,7,,,,,
Anyone But You,12/21/2023,8,,,,,
Aquaman 2,12/22/2023,4,,,,,
Poor Things,12/27/2023,4,,,,,
"Beekeeper, The",2/1/2024,6,,,,,
Argylle,2/1/2024,7,,,,,
